Rank,Club,Country,Level,Elo,From,To,date,updated_at
6.0,Liverpool,ENG,1,1936.98059082,2023-03-17,2023-04-01,2023-03-27,2023-04-16 18:31:45
7.0,Barcelona,ESP,1,1892.24707031,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
8.0,Man United,ENG,1,1886.97521973,2023-03-20,2023-04-02,2023-03-27,2023-04-16 18:31:45
9.0,Chelsea,ENG,1,1862.53125,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
10.0,Paris SG,FRA,1,1851.97106934,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
12.0,Tottenham,ENG,1,1851.1940918,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
13.0,Newcastle,ENG,1,1846.91247559,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
15.0,Brighton,ENG,1,1830.80737305,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
19.0,Atletico,ESP,1,1818.08935547,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
22.0,Brentford,ENG,1,1794.70556641,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
25.0,Aston Villa,ENG,1,1774.42248535,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
30.0,West Ham,ENG,1,1754.73681641,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
31.0,Marseille,FRA,1,1754.00952148,2023-03-20,2023-03-31,2023-03-27,2023-04-16 18:31:45
34.0,Leicester,ENG,1,1751.67614746,2023-03-20,2023-03-31,2023-03-27,2023-04-16 18:31:45
35.0,Betis,ESP,1,1750.71801758,2023-03-20,2023-03-31,2023-03-27,2023-04-16 18:31:45
37.0,Sociedad,ESP,1,1743.11047363,2023-03-20,2023-03-31,2023-03-27,2023-04-16 18:31:45
39.0,Burnley,ENG,2,1738.12817383,2023-03-17,2023-03-31,2023-03-27,2023-04-16 18:31:45
41.0,Crystal Palace,ENG,1,1732.24157715,2023-03-20,2023-03-31,2023-03-27,2023-04-16 18:31:45
42.0,Fulham,ENG,1,1731.16259766,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
43.0,Villarreal,ESP,1,1730.96289062,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
46.0,Lens,FRA,1,1721.22546387,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
47.0,Monaco,FRA,1,1720.35668945,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
48.0,Lille,FRA,1,1716.88842773,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
50.0,Leeds,ENG,1,1714.12573242,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
51.0,Rennes,FRA,1,1713.32556152,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
52.0,Wolves,ENG,1,1710.4987793,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
53.0,Bilbao,ESP,1,1704.38317871,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
54.0,Sevilla,ESP,1,1702.34423828,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
56.0,Nice,FRA,1,1701.3737793,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
58.0,Everton,ENG,1,1692.05725098,2023-03-19,2023-04-03,2023-03-27,2023-04-16 18:31:45
61.0,Celta,ESP,1,1684.80895996,2023-03-20,2023-04-02,2023-03-27,2023-04-16 18:31:45
64.0,Lyon,FRA,1,1677.9432373,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
68.0,Southampton,ENG,1,1662.04260254,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
70.0,Reims,FRA,1,1656.31018066,2023-03-20,2023-04-02,2023-03-27,2023-04-16 18:31:45
71.0,Bournemouth,ENG,1,1655.89501953,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
75.0,Forest,ENG,1,1648.26123047,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
77.0,Osasuna,ESP,1,1641.3515625,2023-03-20,2023-03-31,2023-03-27,2023-04-16 18:31:45
78.0,Valencia,ESP,1,1640.54663086,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
79.0,Getafe,ESP,1,1640.26586914,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
83.0,Rayo Vallecano,ESP,1,1628.74584961,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
93.0,Mallorca,ESP,1,1615.67724609,2023-03-27,2023-03-31,2023-03-27,2023-04-16 18:31:45
94.0,Girona,ESP,1,1614.41564941,2023-03-27,2023-03-31,2023-03-27,2023-04-16 18:31:45
98.0,Levante,ESP,2,1608.94641113,2023-03-26,2023-03-31,2023-03-27,2023-04-16 18:31:45
99.0,Espanyol,ESP,1,1607.99206543,2023-03-26,2023-03-31,2023-03-27,2023-04-16 18:31:45
,Valladolid,ESP,1,1597.24609375,2023-03-18,2023-04-02,2023-03-27,2023-04-16 18:31:45
,Nantes,FRA,1,1595.26281738,2023-03-18,2023-04-02,2023-03-27,2023-04-16 18:31:45
,Strasbourg,FRA,1,1586.69885254,2023-03-20,2023-04-02,2023-03-27,2023-04-16 18:31:45
,Lorient,FRA,1,1577.39074707,2023-03-20,2023-04-02,2023-03-27,2023-04-16 18:31:45
,Toulouse,FRA,1,1572.67602539,2023-03-19,2023-04-02,2023-03-27,2023-04-16 18:31:45
,Montpellier,FRA,1,1571.66064453,2023-03-20,2023-03-31,2023-03-27,2023-04-16 18:31:45
,Alaves,ESP,2,1558.35546875,2023-03-26,2023-04-02,2023-03-27,2023-04-16 18:31:45
,Las Palmas,ESP,2,1551.88903809,2023-03-27,2023-04-03,2023-03-27,2023-04-16 18:31:45
,Elche,ESP,1,1543.9239502,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
,Brest,FRA,1,1532.74853516,2023-03-20,2023-04-02,2023-03-27,2023-04-16 18:31:45
,Metz,FRA,2,1511.53613281,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
,Sunderland,ENG,2,1498.95751953,2023-03-19,2023-03-31,2023-03-27,2023-04-16 18:31:45
,Le Havre,FRA,2,1496.6887207,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
,Auxerre,FRA,1,1490.65637207,2023-03-20,2023-04-01,2023-03-27,2023-04-16 18:31:45
,Oviedo,ESP,2,1490.17871094,2023-03-27,2023-04-01,2023-03-27,2023-04-16 18:31:45
,Leganes,ESP,2,1481.81115723,2023-03-19,2023-03-27,2023-03-27,2023-04-16 18:31:45
,Saint-Etienne,FRA,2,1441.73791504,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
,Paris FC,FRA,2,1424.61206055,2023-03-19,2023-04-01,2023-03-27,2023-04-16 18:31:45
,Angers,FRA,1,1419.0435791,2023-03-19,2023-04-02,2023-03-27,2023-04-16 18:31:45
1.0,Man City,ENG,1,2044.65844727,2023-03-17,2023-04-01,2023-03-28,2023-04-16 18:31:46
4.0,Arsenal,ENG,1,1953.11169434,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
5.0,Real Madrid,ESP,1,1938.31872559,2023-03-20,2023-04-02,2023-03-28,2023-04-16 18:31:46
6.0,Liverpool,ENG,1,1936.98059082,2023-03-17,2023-04-01,2023-03-28,2023-04-16 18:31:46
7.0,Barcelona,ESP,1,1892.24707031,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
8.0,Man United,ENG,1,1886.97521973,2023-03-20,2023-04-02,2023-03-28,2023-04-16 18:31:46
9.0,Chelsea,ENG,1,1862.53125,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
10.0,Paris SG,FRA,1,1851.97106934,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
12.0,Tottenham,ENG,1,1851.1940918,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
13.0,Newcastle,ENG,1,1846.91247559,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
15.0,Brighton,ENG,1,1830.80737305,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
19.0,Atletico,ESP,1,1818.08935547,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
22.0,Brentford,ENG,1,1794.70556641,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
25.0,Aston Villa,ENG,1,1774.42248535,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
30.0,West Ham,ENG,1,1754.73681641,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
31.0,Marseille,FRA,1,1754.00952148,2023-03-20,2023-03-31,2023-03-28,2023-04-16 18:31:46
34.0,Leicester,ENG,1,1751.67614746,2023-03-20,2023-03-31,2023-03-28,2023-04-16 18:31:46
35.0,Betis,ESP,1,1750.71801758,2023-03-20,2023-03-31,2023-03-28,2023-04-16 18:31:46
37.0,Sociedad,ESP,1,1743.11047363,2023-03-20,2023-03-31,2023-03-28,2023-04-16 18:31:46
39.0,Burnley,ENG,2,1738.12817383,2023-03-17,2023-03-31,2023-03-28,2023-04-16 18:31:46
41.0,Crystal Palace,ENG,1,1732.24157715,2023-03-20,2023-03-31,2023-03-28,2023-04-16 18:31:46
42.0,Fulham,ENG,1,1731.16259766,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
43.0,Villarreal,ESP,1,1730.96289062,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
46.0,Lens,FRA,1,1721.22546387,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
47.0,Monaco,FRA,1,1720.35668945,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
48.0,Lille,FRA,1,1716.88842773,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
50.0,Leeds,ENG,1,1714.12573242,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
51.0,Rennes,FRA,1,1713.32556152,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
52.0,Wolves,ENG,1,1710.4987793,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
53.0,Bilbao,ESP,1,1704.38317871,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
54.0,Sevilla,ESP,1,1702.34423828,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
56.0,Nice,FRA,1,1701.3737793,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
58.0,Everton,ENG,1,1692.05725098,2023-03-19,2023-04-03,2023-03-28,2023-04-16 18:31:46
61.0,Celta,ESP,1,1684.80895996,2023-03-20,2023-04-02,2023-03-28,2023-04-16 18:31:46
64.0,Lyon,FRA,1,1677.9432373,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
68.0,Southampton,ENG,1,1662.04260254,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
70.0,Reims,FRA,1,1656.31018066,2023-03-20,2023-04-02,2023-03-28,2023-04-16 18:31:46
71.0,Bournemouth,ENG,1,1655.89501953,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
75.0,Forest,ENG,1,1648.26123047,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
77.0,Osasuna,ESP,1,1641.3515625,2023-03-20,2023-03-31,2023-03-28,2023-04-16 18:31:46
78.0,Valencia,ESP,1,1640.54663086,2023-03-19,2023-04-01,2023-03-28,2023-04-16 18:31:46
79.0,Getafe,ESP,1,1640.26586914,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
83.0,Rayo Vallecano,ESP,1,1628.74584961,2023-03-20,2023-04-01,2023-03-28,2023-04-16 18:31:46
93.0,Mallorca,ESP,1,1615.67724609,2023-03-27,2023-03-31,2023-03-28,2023-04-16 18:31:46
94.0,Girona,ESP,1,1614.41564941,2023-03-27,2023-03-31,2023-03-28,2023-04-16 18:31:46
98.0,Levante,ESP,2,1608.94641113,2023-03-26,2023-03-31,2023-03-28,2023-04-16 18:31:46
99.0,Espanyol,ESP,1,1607.99206543,2023-03-26,2023-03-31,2023-03-28,2023-04-16 18:31:46
,Valladolid,ESP,1,1597.24609375,2023-03-18,2023-04-02,2023-03-28,2023-04-16 18:31:46
,Nantes,FRA,1,1595.26281738,2023-03-18,2023-04-02,2023-03-28,2023-04-16 18:31:46
,Strasbourg,FRA,1,1586.69885254,2023-03-20,2023-04-02,2023-03-28,2023-04-16 18:31:46
,Lorient,FRA,1,1577.39074707,2023-03-20,2023-04-02,2023-03-28,2023-04-16 18:31:46
,Toulouse,FRA,1,1572.67602539,2023-03-19,2023-04-02,2023-03-28,2023-04-16 18:31:46
